Processos no Gesat mas Não lançado na Planilha;;;;;;;;;;;;;;;;;;;;;
GSAT;Cliente;processo;Cliente;;;;;;;;;;;;;;;;;;
230795;396;23/0795;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
230795A;396;23/0795A;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
230795B;396;23/0795B;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
230796;396;23/0796;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
230803;61;23/0803;CS3 COMPANY;;;;;;;;;;;;;;;;;;
230804;396;23/0804;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
230804A;396;23/0804A;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
230816;199;23/0816;SKYSTONE DO BRASIL;;;;;;;;;;;;;;;;;;
230822;396;23/0822;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
230823;61;23/0823;CS3 COMPANY;;;;;;;;;;;;;;;;;;
230836;61;23/0836;CS3 COMPANY;;;;;;;;;;;;;;;;;;
230849;396;23/0849;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
230864;66;23/0864;MARGRAMAR;;;;;;;;;;;;;;;;;;
230868;199;23/0868;SKYSTONE DO BRASIL;;;;;;;;;;;;;;;;;;
230888;199;23/0888;SKYSTONE DO BRASIL;;;;;;;;;;;;;;;;;;
230889;199;23/0889;SKYSTONE DO BRASIL;;;;;;;;;;;;;;;;;;
230890;199;23/0890;SKYSTONE DO BRASIL;;;;;;;;;;;;;;;;;;
230916;61;23/0916;CS3 COMPANY;;;;;;;;;;;;;;;;;;
230920;1452;23/0920;MR TRADING LTDA;;;;;;;;;;;;;;;;;;
230928;396;23/0928;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
230929;61;23/0929;CS3 COMPANY;;;;;;;;;;;;;;;;;;
230944;61;23/0944;CS3 COMPANY;;;;;;;;;;;;;;;;;;
230958;396;23/0958;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
230972;61;23/0972;CS3 COMPANY;;;;;;;;;;;;;;;;;;
230977;199;23/0977;SKYSTONE DO BRASIL;;;;;;;;;;;;;;;;;;
230978;199;23/0978;SKYSTONE DO BRASIL;;;;;;;;;;;;;;;;;;
230983;199;23/0983;SKYSTONE DO BRASIL;;;;;;;;;;;;;;;;;;
230984;199;23/0984;SKYSTONE DO BRASIL;;;;;;;;;;;;;;;;;;
230989;396;23/0989;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
230990;396;23/0990;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
230992;396;23/0992;CS3 MÁRMORES E GRANITOS LTDA;;;;;;;;;;;;;;;;;;
